depth_m,mcm_residential_pct,mcm_commercial_pct,jrc_residential_pct,jrc_commercial_pct,source_note
0.0,0.0,0.0,0.0,0.0,published
0.1,1.6,2.0,2.0,3.0,published
0.2,3.8,4.8,4.3,6.0,interpolated
0.3,6.0,7.5,6.5,9.0,published
0.5,11.6,14.0,13.0,16.0,published
0.6,14.5,17.5,16.0,19.5,published
0.9,22.2,26.0,22.5,28.0,published
1.0,24.5,28.5,25.0,30.5,interpolated
1.2,29.0,33.5,29.0,35.0,published
1.5,35.0,40.0,35.0,41.5,published
2.0,43.0,49.0,42.0,50.0,published
2.5,50.0,56.5,49.0,57.5,interpolated
3.0,56.0,62.0,55.0,64.0,published
3.5,61.0,67.5,61.0,69.5,interpolated
4.0,66.0,72.0,66.5,74.5,published
4.5,70.0,76.5,71.0,79.0,extrapolated_mcm_interpolated_jrc
5.0,73.5,80.0,75.0,83.0,extrapolated_mcm_published_jrc
